state,district,year,month,rain_mean,temp_mean,Latitude,Longitude,temp_min,temp_max
Telangana,Adilabad,2013,1,0.124997231,22.79123757,19.664,78.532,22.35009766,23.22305298
Telangana,Bhadradri Kothagudem,2013,1,0.06459088,24.14302703,17.5557,80.6191,23.54602051,24.66247559
Telangana,Hyderabad,2013,1,0.035311662,23.15052795,17.385,78.4867,23.01870728,23.28234863
Telangana,Jagtial,2013,1,0.094036133,23.80928626,18.794,78.914,23.14736938,24.10110474
Telangana,Jangoan,2013,1,0.070132213,23.15215261,17.727,79.152,22.70837402,23.59899902
Telangana,Jayashankar Bhupalpally,2013,1,0.047258368,24.19870504,18.438,79.905,23.56872559,24.77096558
Telangana,Jogulamba Gadwal,2013,1,0.004880675,25.44428045,16.234,77.805,24.90090942,25.75622559
Telangana,Kamareddy,2013,1,0.082158407,23.61224904,18.322,78.34,22.99725342,24.27770996
Telangana,Karimnagar,2013,1,0.051561254,23.96729872,18.4386,79.1288,23.71759033,24.14144897
Telangana,Khammam,2013,1,0.084534688,24.27176722,17.2473,80.1514,23.70245361,24.85800171
Telangana,Kumurambheem Asifabad,2013,1,0.087573863,23.08748711,19.363,79.278,22.19238281,23.95852661
Telangana,Mahabubabad,2013,1,0.087863088,23.71854374,17.598,80.002,23.41104126,24.03549194
Telangana,Mahabubnagar,2013,1,0.017807783,23.80817589,16.737,77.987,23.02374268,25.11663818
Telangana,Mancherial,2013,1,0.066323585,23.44797516,18.87,79.46,22.44595337,24.30545044
Telangana,Medak,2013,1,0.066500391,23.14369141,18.049,78.263,22.7739563,23.78445435
Telangana,Medchal Malkajgiri,2013,1,0.04167671,22.84642877,17.629,78.48,22.61248779,23.14990234
Telangana,Mulugu,2013,1,0.058879543,24.06505028,18.194,80.073,22.64151001,25.25918579
Telangana,Nagarkurnool,2013,1,0.018954691,23.98659424,16.48,78.32,22.62258911,25.04724121
Telangana,Nalgonda,2013,1,0.053363354,24.68935966,17.0575,79.2673,23.32272339,25.8230896
Telangana,Narayanpet,2013,1,0.008196561,24.49386749,16.744,77.494,23.66711426,25.18222046
Telangana,Nirmal,2013,1,0.08480473,23.39814377,19.097,78.343,22.05615234,24.01403809
Telangana,Nizamabad,2013,1,0.118742747,23.87319946,18.6725,78.094,23.30883789,24.2701416
Telangana,Peddapalli,2013,1,0.069816916,23.91249424,18.614,79.376,23.79327393,24.05566406
Telangana,Rajanna Sircilla,2013,1,0.086826118,23.62352562,18.387,78.832,23.2331543,24.02792358
Telangana,Rangareddy,2013,1,0.033765864,23.15051567,17.246,78.372,22.77017212,23.8248291
Telangana,Sangareddy,2013,1,0.05567981,23.44867113,17.628,78.087,22.7411499,24.02792358
Telangana,Siddipet,2013,1,0.090359681,23.06833412,18.102,78.852,22.39172363,23.8916626
Telangana,Suryapet,2013,1,0.086613941,24.45775736,17.141,79.622,23.68981934,25.33108521
Telangana,Vikarabad,2013,1,0.028166383,23.5757299,17.338,77.904,23.03384399,24.2840271
Telangana,Wanaparthy,2013,1,0.009497859,24.75127157,16.364,78.064,23.92068481,25.48120117
Telangana,Warangal Rural,2013,1,0.08257214,23.59894909,17.9784,79.5941,23.39212036,23.93457031
Telangana,Warangal Urban,2013,1,0.063665054,23.53958435,17.9689,79.5941,23.23190308,23.87780762
Telangana,Yadadri Bhuvanagiri,2013,1,0.051818355,23.4493321,17.582,79.029,22.61627197,24.14398193
Telangana,Adilabad,2013,2,0.620344224,24.86735581,19.664,78.532,24.22055054,25.56976318
Telangana,Bhadradri Kothagudem,2013,2,0.984217235,25.48997055,17.5557,80.6191,24.87438965,25.99603271
Telangana,Hyderabad,2013,2,0.474765837,24.28027344,17.385,78.4867,24.16900635,24.39154053
Telangana,Jagtial,2013,2,0.671361384,25.32184777,18.794,78.914,24.82034302,25.72817993
Telangana,Jangoan,2013,2,0.778913891,24.3505249,17.727,79.152,23.86343384,24.78890991
